name,description,published,author,url,github_ind,github_url,downloads,stars,last_commit
addinslist,"Browse through a continuously updated list of existing RStudio 
    addins and install/uninstall their corresponding packages.",2016-09-29,Dean Attali,https://github.com/daattali/addinslist,TRUE,https://github.com/daattali/addinslist,25213,450,1545104433
ade4,"Tools for multivariate data analysis. Several methods are provided for the analysis (i.e., ordination) of one-table (e.g., principal component analysis, correspondence analysis), two-table (e.g., coinertia analysis, redundancy analysis), three-table (e.g., RLQ analysis) and K-table (e.g., STATIS, multiple coinertia analysis). The philosophy of the package is described in Dray and Dufour (2007) <doi:10.18637/jss.v022.i04>.",2018-08-31,Stéphane Dray <stephane.dray@univ-lyon1.fr>,"http://pbil.univ-lyon1.fr/ADE-4, Mailing list:
http://listes.univ-lyon1.fr/wws/info/adelist",TRUE,https://github.com/sdray/ade4,1087403,8,1539853609
adegenet,"Toolset for the exploration of genetic and genomic data. Adegenet
    provides formal (S4) classes for storing and handling various genetic data,
    including genetic markers with varying ploidy and hierarchical population
    structure ('genind' class), alleles counts by populations ('genpop'), and
    genome-wide SNP data ('genlight'). It also implements original multivariate
    methods (DAPC, sPCA), graphics, statistical tests, simulation tools, distance
    and similarity measures, and several spatial methods. A range of both empirical
    and simulated datasets is also provided to illustrate various methods.",2018-02-02,Thibaut Jombart,https://github.com/thibautjombart/adegenet,TRUE,https://github.com/thibautjombart/adegenet,205368,69,1549425918
adegraphics,Graphical functionalities for the representation of multivariate data. It is a complete re-implementation of the functions available in the 'ade4' package.,2018-12-18,Stéphane Dray <stephane.dray@univ-lyon1.fr> and Aurélie Siberchicot <aurelie.siberchicot@univ-lyon1.fr>,"http://pbil.univ-lyon1.fr/ADE-4, Mailing list:
http://listes.univ-lyon1.fr/wws/info/adelist",TRUE,https://github.com/sdray/adegraphics,82848,5,1553534056
AdhereR,"Computation of adherence to medications from Electronic Health care 
    Data and visualization of individual medication histories and adherence 
    patterns. The package implements a set of S3 classes and
    functions consistent with current adherence guidelines and definitions. 
    It allows the computation of different measures of
    adherence (as defined in the literature, but also several original ones), 
    their publication-quality plotting,
    the estimation of event duration and time to initiation,
    the interactive exploration of patient medication history and 
    the real-time estimation of adherence given various parameter settings.
    It scales from very small datasets stored in flat CSV files to very large 
    databases and from single-thread processing on mid-range consumer
    laptops to parallel processing on large heterogeneous computing clusters.
    It exposes a standardized interface allowing it to be used from other
    programming languages and platforms, such as Python.",2019-02-11,Dan Dediu,https://github.com/ddediu/AdhereR,TRUE,https://github.com/ddediu/adherer,10205,11,1549891268
adjclust,"Implements a constrained version of hierarchical agglomerative 
    clustering, in which each observation is associated to a position, and 
    only adjacent clusters can be merged. Typical application fields in 
    bioinformatics include Genome-Wide Association Studies or Hi-C data 
    analysis, where the similarity between items is a decreasing function of 
    their genomic distance. Taking advantage of this feature, the implemented 
    algorithm is time and memory efficient. This algorithm is described in 
    Chapter 4 of Alia Dehman (2015) 
    <https://hal.archives-ouvertes.fr/tel-01288568v1>.",2018-09-26,Pierre Neuvial,https://github.com/pneuvial/adjclust,TRUE,https://github.com/pneuvial/adjclust,5695,10,1541523365
ADMMsigma,"Estimates a penalized precision matrix via the alternating direction method of multipliers (ADMM) algorithm. It currently supports a general elastic-net penalty that allows for both ridge and lasso-type penalties as special cases. This package is an alternative to the 'glasso' package.
    See Boyd et al (2010) <doi:10.1561/2200000016> for details regarding the estimation method.",2018-08-02,Matt Galloway,https://github.com/MGallow/ADMMsigma,TRUE,https://github.com/mgallow/admmsigma,5984,2,1533172670
adnuts,"Bayesian inference using the no-U-turn (NUTS) algorithm by 
 Hoffman and Gelman (2014) <http://www.jmlr.org/papers/v15/hoffman14a.html>. 
 Designed for 'AD Model Builder' ('ADMB') models,
 or when R functions for log-density and log-density gradient
 are available, such as 'Template Model Builder' ('TMB')
 models and other special cases. Functionality is similar to 'Stan', 
 and the 'rstan' and 'shinystan' packages are used for diagnostics and 
 inference.",2019-04-04,Cole Monnahan,https://github.com/colemonnahan/adnuts,TRUE,https://github.com/colemonnahan/adnuts,3904,12,1554391527
adoptr,"Optimize one or two-arm, two-stage designs for clinical trials with respect to several 
    pre-implemented objective criteria or implement custom objectives.
    Optimization under uncertainty and conditional (given stage-one outcome) constraints are supported.",2019-04-01,Kevin Kunzmann,https://github.com/kkmann/adoptr,TRUE,https://github.com/kkmann/adoptr,389,2,1554300504
adpss,"Provides the functions for planning and conducting a
  clinical trial with adaptive sample size determination. Maximal statistical
  efficiency will be exploited even when dramatic or multiple adaptations
  are made. Such a trial consists of adaptive determination of sample size
  at an interim analysis and implementation of frequentist statistical test at the
  interim and final analysis with a prefixed significance level. The required
  assumptions for the stage-wise test statistics are independent and stationary
  increments and normality. Predetermination of adaptation rule is not required.",2018-09-20,Kosuke Kashiwabara,https://github.com/ca4wa/R-adpss,TRUE,https://github.com/ca4wa/r-adpss,3114,0,1537434072
afex,"Convenience functions for analyzing factorial experiments using ANOVA or
         mixed models. aov_ez(), aov_car(), and aov_4() allow specification of
         between, within (i.e., repeated-measures), or mixed (i.e., split-plot) 
         ANOVAs for data in long format (i.e., one observation per row),
         automatically aggregating multiple observations per individual and cell 
         of the design. mixed() fits mixed models using lme4::lmer() and computes 
         p-values for all fixed effects using either Kenward-Roger or Satterthwaite 
         approximation for degrees of freedom (LMM only), parametric bootstrap 
         (LMMs and GLMMs), or likelihood ratio tests (LMMs and GLMMs). 
         afex_plot() provides a high-level interface for interaction or one-way 
         plots using ggplot2, combining raw data and model estimates. afex uses 
         type 3 sums of squares as default (imitating commercial statistical software).",2019-02-19,Henrik Singmann  (<https://orcid.org/0000-0002-4842-3657>),"http://afex.singmann.science/, https://github.com/singmann/afex",TRUE,https://github.com/singmann/afex,124129,51,1553249597
aftgee,"A collection of methods for both the rank-based estimates and least-square estimates
	      to the Accelerated Failure Time (AFT) model.
	      For rank-based estimation, it provides approaches that include the computationally
	      efficient Gehan's weight and the general's weight such as the logrank weight.
	      Details of the rank-based estimation can be found in
	      Chiou et al. (2014) <doi:10.1007/s11222-013-9388-2> and
	      Chiou et al. (2015) <doi:10.1002/sim.6415>.
	      For the least-square estimation, the estimating equation is solved with
	      generalized estimating equations (GEE).
	      Moreover, in multivariate cases, the dependence working correlation structure
	      can be specified in GEE's setting.
	      Details on the least-squares estimation can be found in
	      Chiou et al. (2014) <doi:10.1007/s10985-014-9292-x>.",2018-07-24,Sy Han Chiou,http://github.com/stc04003/aftgee,TRUE,https://github.com/stc04003/aftgee,28456,0,1545867174
AGD,"Tools for the analysis of growth data: to extract an 
    LMS table from a gamlss object, to calculate the standard 
    deviation scores and its inverse, and to superpose two wormplots 
    from different models. The package contains a some varieties of 
    reference tables, especially for The Netherlands.",2018-05-29,Stef van Buuren <stef.vanbuuren@tno.nl>,https://github.com/stefvanbuuren/AGD,TRUE,https://github.com/stefvanbuuren/agd,87381,1,1527715724
AGHmatrix,"Computation of A (pedigree), G (genomic-base), and H (A corrected
    by G) relationship matrices for diploid and autopolyploid species. Several methods
    are implemented considering additive and non-additive models.",2019-03-26,Rodrigo Amadeu,http://github.com/prmunoz/AGHmatrix,TRUE,https://github.com/prmunoz/aghmatrix,4100,1,1553206261
agop,"Tools supporting multi-criteria and group decision making,
    including variable number of criteria, by means of
    aggregation operators, spread measures,
    fuzzy logic connectives, fusion functions,
    and preordered sets. Possible applications include,
    but are not limited to, quality management, scientometrics,
    software engineering, etc.",2019-03-08,Marek Gagolewski,http://www.gagolewski.com/software/,TRUE,https://github.com/gagolews/agop,19318,3,1552474311
AGread,"Standardize the process of bringing various modes of output files
    into R. For more information, see:
    <https://actigraph.desk.com/customer/en/portal/articles/2515800-what-do-the-different-mode-numbers-mean-in-a-csv-or-dat-file->.
    Additionally, processes are provided to read and minimally pre-
    process raw data from primary accelerometer and inertial measurement unit files,
    as well as binary .gt3x files. ActiGraph monitors are used to estimate physical
    activity outcomes via body-worn sensors that measure (e.g.) acceleration or
    rotational velocity.",2019-03-13,Paul R. Hibbing,https://github.com/paulhibbing/AGread,TRUE,https://github.com/paulhibbing/agread,4814,1,1552529341
agridat,"Datasets from books, papers, and websites related to agriculture.
    Example graphics and analyses are included. Data come from small-plot trials,
    multi-environment trials, uniformity trials, yield monitors, and more.",2018-07-06,Kevin Wright  (<https://orcid.org/0000-0002-0617-8673>),https://github.com/kwstat/agridat,TRUE,https://github.com/kwstat/agridat,41094,47,1554409853
agriwater,"Spatial modeling of energy balance and actual 
    evapotranspiration using satellite images and meteorological data. 
    Options of satellite are: Landsat-8 (with and without thermal bands), 
    Sentinel-2 and MODIS. Respectively spatial resolutions are 30, 100, 
    10 and 250 meters. User can use data from a single meteorological 
    station or a grid of meteorological stations (using any spatial 
    interpolation method). Teixeira (2010) <doi:10.3390/rs0251287>. 
    Teixeira et al. (2015) <doi:10.3390/rs71114597>.
    Silva, Manzione, and Albuquerque Filho (2018) <doi:10.3390/horticulturae4040044>.",2019-01-30,"Cesar de Oliveira Ferreira Silva 
    (<https://orcid.org/0000-0002-5152-6497>)",NA,TRUE,https://github.com/cesarofs/agriwater,846,1,1547247824
ahnr,"Implementation of the Artificial Hydrocarbon Networks for data
    modeling.",2018-06-18,Jose Roberto Ayala Solares,https://github.com/jroberayalas/ahnr,TRUE,https://github.com/jroberayalas/ahnr,7370,1,1532034689
aire.zmvm,"Tools for downloading hourly averages, daily maximums and minimums from each of the 
    pollution, wind, and temperature measuring stations or geographic zones in the Mexico City 
    metro area. The package also includes the locations of each of the stations and zones. See 
    <http://aire.cdmx.gob.mx/> for more information.",2019-03-30,Diego Valle-Jones,"https://hoyodesmog.diegovalle.net/aire.zmvm/,
https://github.com/diegovalle/aire.zmvm",TRUE,https://github.com/diegovalle/aire.zmvm,8810,5,1554405358
airportr,"Retrieves open source airport data and provides tools to look up information, translate names into codes and vice-verse, as well as some basic calculation functions for measuring distances.",2018-10-06,Dmitry Shkolnik,https://github.com/dshkol/airportr,TRUE,https://github.com/dshkol/airportr,2256,4,1538849707
airr,"Schema definitions and read, write and validation tools for data 
    formatted in accordance with the AIRR Data Representation schemas defined 
    by the AIRR Community <http://docs.airr-community.org>.",2018-08-17,Jason Vander Heiden,http://docs.airr-community.org,TRUE,https://github.com/airr-community/airr-standards,3887,10,1554392190
ALA4R,"The Atlas of Living Australia (ALA) provides tools to enable users
    of biodiversity information to find, access, combine and visualise data on
    Australian plants and animals; these have been made available from
    <https://ala.org.au/>. ALA4R provides a subset of the tools to be
    directly used within R. It enables the R community to directly access data
    and resources hosted by the ALA.",2019-04-02,Peggy Newman,https://github.com/AtlasOfLivingAustralia/ALA4R,TRUE,https://github.com/atlasoflivingaustralia/ala4r,12430,29,1554182431
albopictus,Implements discrete time deterministic and stochastic age-structured population dynamics models described in Erguler and others (2016) <doi:10.1371/journal.pone.0149282> and Erguler and others (2017) <doi:10.1371/journal.pone.0174293>.,2018-11-29,Kamil Erguler,https://github.com/kerguler/albopictusR,TRUE,https://github.com/kerguler/albopictusr,7574,0,1549446934
alfred,"Provides direct access to the ALFRED (<https://alfred.stlouisfed.org>) and FRED (<https://fred.stlouisfed.org>) databases.
    Its functions return tidy data frames for different releases of the specified time series. 
    Note that this product uses the FRED© API but is not endorsed or certified by the Federal Reserve Bank of St. Louis.",2019-04-01,Onno Kleen  (<https://orcid.org/0000-0003-4731-4640>),https://github.com/onnokleen/alfred/,TRUE,https://github.com/onnokleen/alfred,13415,6,1554108449
alignfigR,"Create extensible figures of multiple sequence alignments, using the 'ggplot2' plotting engine. 'alignfigr' will create a baseline figure of a multiple sequence alignment which can be fully customized to the user's liking with standard 'ggplot2' features.",2018-07-05,Stephanie J. Spielman,https://github.com/sjspielman/alignfigR,TRUE,https://github.com/sjspielman/alignfigr,3017,6,1532355701
alpaca,"Provides a routine to concentrate out factors with many levels during the
  optimization of the log-likelihood function of the corresponding generalized linear model (glm).
  The package is based on the algorithm proposed by Stammann (2018) <arXiv:1707.01815> and is
  restricted to glm's that are based on maximum likelihood estimation and non-linear. It also offers
  an efficient algorithm to recover estimates of the fixed effects in a post-estimation routine.
  The package also includes robust and multi-way clustered standard errors.",2018-07-31,Amrei Stammann,https://github.com/amrei-stammann/alpaca,TRUE,https://github.com/amrei-stammann/alpaca,3137,9,1541927992
alphavantager,"
    Alpha Vantage has free historical financial information. 
    All you need to do is get a free API key at <https://www.alphavantage.co>.
    Then you can use the R interface to retrieve free equity information.
    Refer to the Alpha Vantage website for more information.",2019-03-11,Matt Dancho,https://github.com/business-science/alphavantager,TRUE,https://github.com/business-science/alphavantager,19760,28,1552596113
alterryx,"A tool to access each of the 'Alteryx' Gallery 'API' endpoints.
    Users can queue jobs, poll job status, and retrieve application output as
    a data frame. You will need an 'Alteryx' Server license and have 'Alteryx'
    Gallery running to utilize this package. The 'API' is accessed through the
    'URL' that you setup for the server running 'Alteryx' Gallery and more
    information on the endpoints can be found at
    <https://gallery.alteryx.com/api-docs/>.",2018-11-21,Michael Treadwell,"https://github.com/mtreadwell/alterryx,
https://gallery.alteryx.com/api-docs/",TRUE,https://github.com/mtreadwell/alterryx,8815,2,1542824694
ambient,"Generation of natural looking noise has many application within 
    simulation, procedural generation, and art, to name a few. The 'ambient' 
    package provides an interface to the 'FastNoise' C++ library and allows for
    efficient generation of perlin, simplex, worley, cubic, value, and white 
    noise with optional pertubation in either 2, 3, or 4 (in case of simplex and
    white noise) dimensions.",2018-08-30,Thomas Lin Pedersen,https://github.com/thomasp85/ambient,TRUE,https://github.com/thomasp85/ambient,2465,30,1535554163
ameco,Annual macro-economic database provided by the European Commission.,2018-05-04,Eric Persson,http://github.com/expersso/ameco,TRUE,https://github.com/expersso/ameco,19586,3,1547638079
amt,"Manage and analyze animal movement data. The functionality of 'amt' includes methods to calculate track statistics (e.g. step lengths, speed, or turning angles), prepare data for fitting habitat selection analyses (resource and step-selection functions), and simulation of space-use from fitted step-selection functions.",2019-03-19,Johannes Signer,https://github.com/jmsigner/amt,TRUE,https://github.com/jmsigner/amt,8313,4,1553759254
AmyloGram,"Predicts amyloid proteins using random forests trained on the
    n-gram encoded peptides. The implemented algorithm can be accessed from
    both the command line and shiny-based GUI.",2017-10-11,Michal Burdukiewicz,https://github.com/michbur/AmyloGram,TRUE,https://github.com/michbur/amylogram,8446,4,1554366129
analogsea,"Provides a set of functions for interacting with the 'Digital
    Ocean' API at <https://developers.digitalocean.com/documentation/v2>, including
    creating images, destroying them, rebooting, getting details on regions, and
    available images.",2018-01-04,Scott Chamberlain,https://github.com/sckott/analogsea,TRUE,https://github.com/sckott/analogsea,27040,99,1553629515
analogue,"Fits Modern Analogue Technique and Weighted Averaging transfer 
  	     function models for prediction of environmental data from species 
	     data, and related methods used in palaeoecology.",2018-10-23,Gavin L. Simpson  (<https://orcid.org/0000-0002-9084-8413>),https://github.com/gavinsimpson/analogue,TRUE,https://github.com/gavinsimpson/analogue,47691,9,1539121291
analysisPipelines,"Enables data scientists to compose pipelines of analysis which consist of data manipulation, exploratory analysis & reporting, as well as modeling steps. Data scientists can use tools of their choice through an R interface, and compose interoperable pipelines between R, Spark, and Python.
    Credits to Mu Sigma for supporting the development of the package.
    Note - To enable pipelines involving Spark tasks, the package uses the 'SparkR' package. 
    The SparkR package needs to be installed to use Spark as an engine within a pipeline. SparkR is distributed natively with Apache Spark and is not distributed on CRAN. The SparkR version needs to directly map to the Spark version (hence the native distribution), and care needs to be taken to ensure that this is configured properly.
    To install SparkR from Github, run the following command if you know the Spark version: 'devtools::install_github('apache/spark@v2.x.x', subdir='R/pkg')'.
    The other option is to install SparkR by running the following terminal commands if Spark has already been installed: '$ export SPARK_HOME=/path/to/spark/directory && cd $SPARK_HOME/R/lib/SparkR/ && R -e ""devtools::install('.')""'.",2019-01-08,Mu Sigma,https://github.com/Mu-Sigma/analysis-pipelines,TRUE,https://github.com/mu-sigma/analysis-pipelines,1312,10,1552218953
angstroms,"Helper functions for working with Regional Ocean Modeling System 'ROMS' output. See
    <https://www.myroms.org/> for more information about 'ROMS'. ",2017-05-01,Michael D. Sumner,https://github.com/mdsumner/angstroms,TRUE,https://github.com/mdsumner/angstroms,5490,2,1553489875
animation,"Provides functions for animations in statistics, covering topics
    in probability theory, mathematical statistics, multivariate statistics,
    non-parametric statistics, sampling survey, linear models, time series,
    computational statistics, data mining and machine learning. These functions
    may be helpful in teaching statistics and data analysis. Also provided in this
    package are a series of functions to save animations to various formats, e.g.
    Flash, 'GIF', HTML pages, 'PDF' and videos. 'PDF' animations can be inserted
    into 'Sweave' / 'knitr' easily.",2018-12-11,Yihui Xie,https://yihui.name/animation,TRUE,https://github.com/yihui/animation,471249,139,1553106824
ANN2,"Training of neural networks for classification and regression tasks
    using mini-batch gradient descent. Special features include a function for 
    training autoencoders, which can be used to detect anomalies, and some 
    related plotting functions. Multiple activation functions are supported, 
    including tanh, relu, step and ramp. For the use of the step and ramp 
    activation functions in detecting anomalies using autoencoders, see 
    Hawkins et al. (2002) <doi:10.1007/3-540-46145-0_17>. Furthermore, 
    several loss functions are supported, including robust ones such as Huber 
    and pseudo-Huber loss, as well as L1 and L2 regularization. The possible 
    options for optimization algorithms are RMSprop, Adam and SGD with momentum.
    The package contains a vectorized C++ implementation that facilitates 
    fast training through mini-batch learning.",2019-03-30,Bart Lammers,https://github.com/bflammers/ANN2,TRUE,https://github.com/bflammers/ann2,18351,4,1554461429
AnnotationBustR,Extraction of subsequences into FASTA files from GenBank annotations where gene names may vary among accessions.,2018-04-09,Samuel R. Borstein <sam@borstein.com>,"https://github.com/sborstein/AnnotationBustR,
https://www.ncbi.nlm.nih.gov/nuccore,
https://en.wikipedia.org/wiki/FASTA_format",TRUE,https://github.com/sborstein/annotationbustr,7471,0,1536774614
anomalize,"
    The 'anomalize' package enables a ""tidy"" workflow for detecting anomalies in data.
    The main functions are time_decompose(), anomalize(), and time_recompose().
    When combined, it's quite simple to decompose time series, detect anomalies,
    and create bands separating the ""normal"" data from the anomalous data at scale (i.e. for multiple time series). 
    Time series decomposition is used to remove trend and seasonal components via the time_decompose() function
    and methods include seasonal decomposition of time series by Loess (""stl"") and 
    seasonal decomposition by piecewise medians (""twitter""). The anomalize() function implements
    two methods for anomaly detection of residuals including using an inner quartile range (""iqr"")
    and generalized extreme studentized deviation (""gesd""). These methods are based on
    those used in the 'forecast' package and the Twitter 'AnomalyDetection' package. 
    Refer to the associated functions for specific references for these methods. ",2018-04-17,Matt Dancho,https://github.com/business-science/anomalize,TRUE,https://github.com/business-science/anomalize,17802,160,1523961692
antaresProcessing,"
    Process results generated by 'Antares', a powerful open source software developed by
    RTE (Réseau de Transport d’Électricité) to simulate and study electric power systems (more information about
    'Antares' here: <https://github.com/AntaresSimulatorTeam/Antares_Simulator>). You can see the results of several ANTARES studies here : <http://bpnumerique.rte-france.com/>. 
    This package provides functions to create new columns like net load, load factors, upward and
    downward margins or to compute aggregated statistics like economic surpluses
    of consumers, producers and sectors.",2018-12-10,Jalal-Edine ZAWAM,https://github.com/rte-antares-rpackage/antaresProcessing,TRUE,https://github.com/rte-antares-rpackage/antaresprocessing,20207,8,1538147862
antaresRead,"Import, manipulate and explore results generated by 'Antares', a 
    powerful open source software developed by RTE (Réseau de Transport d’Électricité) to simulate and study electric power systems
    (more information about 'Antares' here : <https://github.com/AntaresSimulatorTeam/Antares_Simulator>). You can see the results of several ANTARES studies here : <http://bpnumerique.rte-france.com/>. ",2019-02-13,Frederic Breant,https://github.com/rte-antares-rpackage/antaresRead,TRUE,https://github.com/rte-antares-rpackage/antaresread,26259,7,1550048909
antaresViz,"Visualize results generated by Antares, a powerful open source software
    developed by RTE to simulate and study electric power systems
    (more information about Antares here: <https://github.com/AntaresSimulatorTeam/Antares_Simulator>).
    This package provides functions that create interactive charts to help
    Antares users visually explore the results of their simulations. 
    You can see the results of several ANTARES studies here : <http://bpnumerique.rte-france.com/>.",2018-10-11,Jalal-Edine ZAWAM,https://github.com/rte-antares-rpackage/antaresViz,TRUE,https://github.com/rte-antares-rpackage/antaresviz,13861,12,1539250460
anthro,"Provides WHO Child Growth Standards (z-scores) with
             confidence intervals and standard errors around the
             prevalence estimates, taking into account complex sample designs.
             More information on the methods is
             available online:
             <http://www.who.int/childgrowth/standards/en/>.",2019-03-23,Dirk Schumacher,https://github.com/dirkschumacher/anthro,TRUE,https://github.com/dirkschumacher/anthro,592,6,1554405078
AntWeb,"A complete programmatic interface to the AntWeb database from the
    California Academy of Sciences.",2014-08-14,Karthik Ram,https://github.com/ropensci/AntWeb,TRUE,https://github.com/ropensci/antweb,24674,7,1526049821
anytime,"Convert input in any one of character, integer, numeric, factor,
 or ordered type into 'POSIXct' (or 'Date') objects, using one of a number of
 predefined formats, and relying on Boost facilities for date and time parsing.",2018-11-14,Dirk Eddelbuettel,http://dirk.eddelbuettel.com/code/anytime.html,TRUE,https://github.com/eddelbuettel/anytime,134743,95,1554256626
apa,"Formatter functions in the 'apa' package take the return value of a
    statistical test function, e.g. a call to chisq.test() and return a string
    formatted according to the guidelines of the APA (American Psychological
    Association).",2019-03-04,Daniel Gromer,https://github.com/dgromer/apa,TRUE,https://github.com/dgromer/apa,14483,23,1551703797
ApacheLogProcessor,Provides capabilities to process Apache HTTPD Log files.The main functionalities are to extract data from access and error log files to data frames.,2018-07-19,Diogo Silveira Mendonca,https://github.com/diogosmendonca/ApacheLogProcessor,TRUE,https://github.com/diogosmendonca/apachelogprocessor,17190,8,1531967229
apaTables,"A common task faced by researchers is the creation of APA style
    (i.e., American Psychological Association style) tables from statistical
    output. In R a large number of function calls are often needed to obtain all of
    the desired information for a single APA style table. As well, the process of
    manually creating APA style tables in a word processor is prone to transcription
    errors. This package creates Word files (.doc files) containing APA style tables
    for several types of analyses. Using this package minimizes transcription errors
    and reduces the number commands needed by the user.",2018-08-29,David Stanley,https://github.com/dstanley4/apaTables,TRUE,https://github.com/dstanley4/apatables,47726,22,1540144915
apcf,"The adapted pair correlation function transfers the concept of the
  pair correlation function from point patterns to patterns of objects of 
  finite size and irregular shape (e.g. lakes within a country). This is a 
  reimplementation of the method suggested by Nuske et al. (2009) 
  <doi:10.1016/j.foreco.2009.09.050> using the libraries 'GEOS' and 'GDAL' 
  directly instead of through 'PostGIS'. ",2019-01-17,Robert Nuske  (<https://orcid.org/0000-0001-9773-2061>),https://github.com/rnuske/apcf,TRUE,https://github.com/rnuske/apcf,1048,1,1553173722
aphid,"Designed for the development and application of
    hidden Markov models and profile HMMs for biological sequence analysis. 
    Contains functions for multiple and pairwise sequence alignment, 
    model construction and parameter optimization, file import/export,
    implementation of the forward, backward and Viterbi algorithms for 
    conditional sequence probabilities, tree-based sequence weighting, 
    and sequence simulation. 
    Features a wide variety of potential applications including 
    database searching, gene-finding and annotation, phylogenetic 
    analysis and sequence classification.
    Based on the models and algorithms described in Durbin et 
    al (1998, ISBN: 9780521629713).",2019-03-15,Shaun Wilkinson,http://github.com/shaunpwilkinson/aphid,TRUE,https://github.com/shaunpwilkinson/aphid,11547,9,1552783289
aprof,"Assists the evaluation of whether and
    where to focus code optimization, using Amdahl's law and visual aids
    based on line profiling. Amdahl's profiler organizes profiling output
    files (including memory profiling) in a visually appealing way.
    It is meant to help to balance development
    vs. execution time by helping to identify the most promising sections
    of code to optimize and projecting potential gains. The package is
    an addition to R's standard profiling tools and is not a wrapper for them.",2018-05-22,Marco D. Visser,http://github.com/MarcoDVisser/aprof,TRUE,https://github.com/marcodvisser/aprof,23594,22,1526559932
